"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-07",,"27.6","35.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-08",,"29.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-09",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-10",,"30.3",,"23.9"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-11",,"27.8","32.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-12",,"29.3","34.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-13",,"28.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-14",,"30.5","35.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-15",,"30.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-16",,"30.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-17",,"30.9",,"26.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-18",,"30.8",,"26.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-19",,"30.1","36.2","26.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-20",,"29.2","33.3",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-21",,"28.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-22",,"28.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-23",,"28.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-24",,"26.1","31.0","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-25",,"26.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-26",,"27.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-27",,"31.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-28",,"30.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-29",,"29.5","35.0","26.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-30",,"28.8","33.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-31",,"26.3",,"22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-01","15.0","24.4","28.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-02","0.0","28.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-03",,"28.6","34.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-04",,"25.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-05",,"29.4","34.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-06",,"27.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-07",,"28.7","33.5","24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-08",,"26.2","33.5","22.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-09",,"28.3","32.1",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-10",,"29.2",,"24.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-12",,"28.5","34.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-13",,"29.6","33.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-14",,"28.9","34.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-15",,"30.6",,"24.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-16",,"29.1","33.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-17",,"26.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-18",,"32.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-19",,"25.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-20",,"30.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-21",,"29.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-22",,"28.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-23",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-24",,"27.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-25",,"27.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-26",,"27.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-27",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-28","42.9","27.9",,"22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-29","0.0","29.2","34.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-04-30",,"27.1","34.2",
